region,export_q1,export_q2,export_q3,export_q4,import_q1,import_q2,import_q3,import_q4
Seychelles,272,307,349,341,163,221,170,207
Sierra Leone,282,279,264,307,210,234,147,171
South Africa,23500,25152,25404,24052,30536,32147,33703,32725
South Sudan,149,118,150,189,450,326,527,384
Tanzania,2977,3249,3523,3718,1711,1799,1584,1836
Togo,2602,2881,2584,2600,890,989,944,844
Uganda,1021,1127,1020,1163,1015,975,938,1018
Zambia,1614,1684,1651,1950,2674,2700,2773,2531
Zimbabwe,984,1037,1080,908,788,992,868,769
Anguilla,34,36,36,45,3,3,4,7
Antigua & Barbuda,316,283,280,344,59,92,71,69
Argentina,16171,17142,14860,12005,15063,16572,16794,16318
Aruba,410,402,373,378,37,25,33,28
Bahamas,2328,2605,2428,2447,606,625,580,630
Barbados,332,428,351,384,120,109,118,105
Belize,216,256,260,268,101,261,78,96
Bermuda,744,308,229,349,57,38,154,150
Bolivia,1765,1777,1808,1970,2013,2120,2221,2190
Brazil,43680,48731,47261,45836,58242,65883,67976,65721
Chile,16085,18088,18608,18837,22448,20845,19728,18625
Colombia,11017,12242,12531,13118,11402,11197,11403,12118
Costa Rica,3263,3853,3475,3633,3484,3760,3480,3639
Curaçao,553,450,308,285,136,47,81,104
Dominica,170,297,162,105,40,29,29,24
Dominican Republic,4263,4531,4841,4849,2210,2434,2469,2443
Ecuador,4796,5427,5533,5455,5233,5424,5705,5854
El Salvador,2167,2468,2456,2540,1434,1552,1574,1506
Falkland Islands,18,30,19,62,39,123,59,79
Greenland,118,207,233,253,223,245,281,298
Grenada,66,64,59,60,18,17,19,18
Guatemala,3944,4230,4269,4364,2881,2997,2846,2721
Guyana,322,316,330,375,368,419,357,408
Haiti,1060,1230,1208,1183,270,309,333,347
Honduras,2612,2981,2907,3019,2222,2389,2435,2334
Jamaica,1261,1512,1360,1528,351,379,387,426
Mexico,99342,107613,108426,107574,114789,122314,121566,122116
Montserrat,11,4,5,10,2,2,1,2
Netherlands Antilles,777,869,963,809,269,324,236,207
Nicaragua,1548,1506,1196,1393,1439,1454,1533,1420
Panama,10161,10452,12411,10702,1786,1910,1776,1726
